date,rate_before,rate_after,rate_change_bps,decision
1990-02-07,8.25,8.25,0.0,MAINTAIN
1990-03-27,8.25,8.25,0.0,MAINTAIN
1990-05-15,8.25,8.25,0.0,MAINTAIN
1990-07-03,8.25,8.25,0.0,MAINTAIN
1990-08-21,8.0,8.0,0.0,MAINTAIN
1990-10-02,8.0,8.0,0.0,MAINTAIN
1990-11-13,7.75,7.5,-25.0,LOWER
1990-12-18,7.25,7.0,-25.0,LOWER
1991-02-06,6.25,6.25,0.0,MAINTAIN
1991-03-26,6.0,6.0,0.0,MAINTAIN
1991-05-14,5.75,5.75,0.0,MAINTAIN
1991-07-03,5.75,5.75,0.0,MAINTAIN
1991-08-20,5.5,5.5,0.0,MAINTAIN
1991-10-01,5.25,5.25,0.0,MAINTAIN
1991-11-05,5.0,4.75,-25.0,LOWER
1991-12-17,4.5,4.5,0.0,MAINTAIN
1992-02-05,4.0,4.0,0.0,MAINTAIN
1992-03-31,4.0,4.0,0.0,MAINTAIN
1992-05-19,3.75,3.75,0.0,MAINTAIN
1992-07-01,3.75,3.25,-50.0,LOWER
1992-08-18,3.25,3.25,0.0,MAINTAIN
1992-10-06,3.0,3.0,0.0,MAINTAIN
1992-11-17,3.0,3.0,0.0,MAINTAIN
1992-12-22,3.0,3.0,0.0,MAINTAIN
1993-02-03,3.0,3.0,0.0,MAINTAIN
1993-03-23,3.0,3.0,0.0,MAINTAIN
1993-05-18,3.0,3.0,0.0,MAINTAIN
1993-07-07,3.0,3.0,0.0,MAINTAIN
1993-08-17,3.0,3.0,0.0,MAINTAIN
1993-09-21,3.0,3.0,0.0,MAINTAIN
1993-11-16,3.0,3.0,0.0,MAINTAIN
1993-12-21,3.0,3.0,0.0,MAINTAIN
1994-02-04,3.0,3.25,25.0,RAISE
1994-03-22,3.25,3.5,25.0,RAISE
1994-04-18,3.5,3.75,25.0,RAISE
1994-05-17,3.75,4.25,50.0,RAISE
1994-07-06,4.25,4.25,0.0,MAINTAIN
1994-08-16,4.25,4.75,50.0,RAISE
1994-09-27,4.75,4.75,0.0,MAINTAIN
1994-11-15,4.75,5.5,75.0,RAISE
1994-12-20,5.5,5.5,0.0,MAINTAIN
1995-02-01,5.5,6.0,50.0,RAISE
1995-03-28,6.0,6.0,0.0,MAINTAIN
1995-05-23,6.0,6.0,0.0,MAINTAIN
1995-07-06,6.0,5.75,-25.0,LOWER
1995-08-22,5.75,5.75,0.0,MAINTAIN
1995-09-26,5.75,5.75,0.0,MAINTAIN
1995-11-15,5.75,5.75,0.0,MAINTAIN
1995-12-19,5.75,5.5,-25.0,LOWER
1996-01-31,5.5,5.25,-25.0,LOWER
