date,decision,beige_books,minutes,statements
1990-02-07,MAINTAIN,,,
1990-03-27,MAINTAIN,,,
1990-05-15,MAINTAIN,,,
1990-07-03,MAINTAIN,,,
1990-08-21,MAINTAIN,,,
1990-10-02,MAINTAIN,,,
1990-11-13,LOWER,,,
1990-12-18,LOWER,,,
1991-02-06,MAINTAIN,,,
1991-03-26,MAINTAIN,,,
1991-05-14,MAINTAIN,,,
1991-07-03,MAINTAIN,,,
1991-08-20,MAINTAIN,,,
1991-10-01,MAINTAIN,,,
1991-11-05,LOWER,,,
1991-12-17,MAINTAIN,,,
1992-02-05,MAINTAIN,,,
1992-03-31,MAINTAIN,,,
1992-05-19,MAINTAIN,,,
1992-07-01,LOWER,,,
1992-08-18,MAINTAIN,,,
1992-10-06,MAINTAIN,,,
1992-11-17,MAINTAIN,,,
1992-12-22,MAINTAIN,,,
1993-02-03,MAINTAIN,,minutes/minutes_1993-02-03.txt,
1993-03-23,MAINTAIN,,minutes/minutes_1993-03-23.txt,
1993-05-18,MAINTAIN,,minutes/minutes_1993-05-18.txt,
1993-07-07,MAINTAIN,,minutes/minutes_1993-07-07.txt,
1993-08-17,MAINTAIN,,minutes/minutes_1993-08-17.txt,
1993-09-21,MAINTAIN,,minutes/minutes_1993-09-21.txt,
1993-11-16,MAINTAIN,,minutes/minutes_1993-11-16.txt,
1993-12-21,MAINTAIN,,minutes/minutes_1993-12-21.txt,
1994-02-04,RAISE,,minutes/minutes_1994-02-04.txt,statements/statement_1994-02-04.txt
1994-03-22,RAISE,,minutes/minutes_1994-03-22.txt,statements/statement_1994-03-22.txt
1994-04-18,RAISE,,,statements/statement_1994-04-18.txt
1994-05-17,RAISE,,minutes/minutes_1994-05-17.txt,statements/statement_1994-05-17.txt
1994-07-06,MAINTAIN,,minutes/minutes_1994-07-06.txt,
1994-08-16,RAISE,,minutes/minutes_1994-08-16.txt,statements/statement_1994-08-16.txt
1994-09-27,MAINTAIN,,minutes/minutes_1994-09-27.txt,
1994-11-15,RAISE,,minutes/minutes_1994-11-15.txt,statements/statement_1994-11-15.txt
1994-12-20,MAINTAIN,,minutes/minutes_1994-12-20.txt,
1995-02-01,RAISE,,minutes/minutes_1995-02-01.txt,statements/statement_1995-02-01.txt
1995-03-28,MAINTAIN,,minutes/minutes_1995-03-28.txt,
1995-05-23,MAINTAIN,,minutes/minutes_1995-05-23.txt,
1995-07-06,LOWER,,minutes/minutes_1995-07-06.txt,statements/statement_1995-07-06.txt
1995-08-22,MAINTAIN,,minutes/minutes_1995-08-22.txt,
1995-09-26,MAINTAIN,,minutes/minutes_1995-09-26.txt,
1995-11-15,MAINTAIN,,minutes/minutes_1995-11-15.txt,
1995-12-19,LOWER,,minutes/minutes_1995-12-19.txt,statements/statement_1995-12-19.txt
1996-01-31,LOWER,,,statements/statement_1996-01-31.txt
1996-03-26,MAINTAIN,,minutes/minutes_1996-03-26.txt,
1996-05-21,MAINTAIN,,minutes/minutes_1996-05-21.txt,
1996-07-03,MAINTAIN,,,
1996-08-20,MAINTAIN,,minutes/minutes_1996-08-20.txt,
1996-09-24,MAINTAIN,,minutes/minutes_1996-09-24.txt,
1996-11-13,MAINTAIN,,minutes/minutes_1996-11-13.txt,
1996-12-17,MAINTAIN,,minutes/minutes_1996-12-17.txt,
1997-02-05,MAINTAIN,,,
1997-03-25,RAISE,,minutes/minutes_1997-03-25.txt,statements/statement_1997-03-25.txt
1997-05-20,MAINTAIN,,minutes/minutes_1997-05-20.txt,
1997-07-02,MAINTAIN,,,
1997-08-19,MAINTAIN,,minutes/minutes_1997-08-19.txt,
1997-09-30,MAINTAIN,,minutes/minutes_1997-09-30.txt,
1997-11-12,MAINTAIN,,minutes/minutes_1997-11-12.txt,
1997-12-16,MAINTAIN,,minutes/minutes_1997-12-16.txt,
1998-02-04,MAINTAIN,,,
