decision_date,window_start,window_end,total_articles,fed_related_articles,avg_sentiment,sentiment_std,positive_pct,negative_pct,avg_hawkish,avg_dovish,hawk_dove_balance,market_sentiment,pre_labeled_sentiment,fed_pre_labeled_sentiment
1990-02-07,1990-01-17,1990-02-06,15,12,-0.2412,0.5493,25.0,58.33,0.0833,0.6667,-0.5833,-0.1263,-0.5,-0.5
1990-03-27,1990-03-06,1990-03-26,13,10,0.1309,0.7007,40.0,40.0,0.2,0.6,-0.4,0.1154,-0.1,0.0
1990-05-15,1990-04-24,1990-05-14,10,6,-0.4815,0.5695,16.67,50.0,0.1667,0.3333,-0.1667,-0.3889,,
1990-07-03,1990-06-12,1990-07-02,8,4,-0.1111,0.1571,0.0,50.0,0.0,0.5,-0.5,0.2361,0.125,0.125
1990-08-21,1990-07-31,1990-08-20,16,9,-0.1928,0.4935,22.22,55.56,0.1111,0.0,0.1111,-0.1918,-0.375,-0.35
1990-10-02,1990-09-11,1990-10-01,19,13,-0.2942,0.6221,23.08,69.23,0.1538,0.3846,-0.2308,-0.1236,-0.125,-0.125
1990-11-13,1990-10-23,1990-11-12,11,10,-0.12,0.5925,30.0,50.0,0.1,0.3,-0.2,-0.1091,-0.25,-0.25
1990-12-18,1990-11-27,1990-12-17,13,13,-0.3526,0.5549,7.69,69.23,0.0769,0.4615,-0.3846,-0.3526,-0.0833,-0.0833
1991-02-06,1991-01-16,1991-02-05,17,12,-0.2587,0.4434,16.67,58.33,0.0833,0.3333,-0.25,-0.1784,0.5,0.5
1991-03-26,1991-03-05,1991-03-25,13,12,-0.4583,0.4981,8.33,58.33,0.0,0.5,-0.5,-0.5,-0.25,-0.25
1991-05-14,1991-04-23,1991-05-13,19,18,-0.2025,0.6182,38.89,55.56,0.0,0.5,-0.5,-0.1918,-0.0556,-0.0556
1991-07-03,1991-06-12,1991-07-02,8,7,-0.1672,0.356,14.29,57.14,0.0,0.2857,-0.2857,-0.2713,-0.125,-0.125
1991-08-20,1991-07-30,1991-08-19,18,15,-0.1673,0.6507,20.0,73.33,0.0667,0.2667,-0.2,-0.0468,0.05,0.0
1991-10-01,1991-09-10,1991-09-30,11,7,-0.3293,0.5317,14.29,57.14,0.0,0.1429,-0.1429,-0.3913,0.25,0.25
1991-11-05,1991-10-15,1991-11-04,18,11,-0.0729,0.5953,27.27,45.45,0.0,0.8182,-0.8182,-0.0445,-0.1875,-0.1875
1991-12-17,1991-11-26,1991-12-16,13,10,-0.0389,0.5238,30.0,30.0,0.0,0.4,-0.4,-0.0684,,
1992-02-05,1992-01-15,1992-02-04,18,16,-0.0711,0.5893,31.25,43.75,0.0625,0.4375,-0.375,-0.1003,-0.1875,-0.1875
1992-03-31,1992-03-10,1992-03-30,17,10,-0.0939,0.6008,40.0,40.0,0.0,0.0,0.0,-0.0435,0.4375,0.5833
1992-05-19,1992-04-28,1992-05-18,14,9,0.1548,0.2516,55.56,11.11,0.0,0.2222,-0.2222,0.1709,0.4167,0.75
1992-07-01,1992-06-10,1992-06-30,12,10,-0.0822,0.7179,40.0,50.0,0.2,0.6,-0.4,-0.1241,-0.25,-0.25
1992-08-18,1992-07-28,1992-08-17,12,8,0.2739,0.5097,50.0,12.5,0.0,0.0,0.0,0.2381,-0.15,-0.15
1992-10-06,1992-09-15,1992-10-05,16,10,-0.0033,0.5964,40.0,50.0,0.0,0.3,-0.3,-0.1271,-0.05,-0.05
1992-11-17,1992-10-27,1992-11-16,8,6,0.0028,0.3959,33.33,33.33,0.0,0.0,0.0,0.2521,0.0,0.0
1992-12-22,1992-12-01,1992-12-21,11,8,0.061,0.5792,50.0,25.0,0.25,0.25,0.0,-0.0162,0.3333,0.3333
1993-02-03,1993-01-13,1993-02-02,12,9,-0.0796,0.6028,33.33,33.33,0.0,0.7778,-0.7778,0.0236,0.0,0.0
1993-03-23,1993-03-02,1993-03-22,12,10,-0.0683,0.6074,30.0,40.0,0.6,0.7,-0.1,-0.0569,-0.25,-0.25
1993-05-18,1993-04-27,1993-05-17,11,11,0.0909,0.7504,45.45,36.36,0.0909,0.3636,-0.2727,0.0909,0.375,0.375
